name,lat,lon,timeBound,budget,importance,quality,area,profit,length,time,status
sel,58.4799,16.2368,5,1000,0,0.586884,1410.9,586.884,962.195,0,1
ilp,58.4799,16.2368,5,1000,0,-1,-1,-1,-1,7129,3
jog,58.4799,16.2368,5,1000,0,0.856528,-3.63798e-12,856.528,1713.06,0,1
ils,58.4799,16.2368,5,1000,0,0.856528,-3.63798e-12,856.528,1713.06,5000,1
sel,58.4799,16.2368,5,1000,0.5,0.185302,0,370.604,985.208,0,1
ilp,58.4799,16.2368,5,1000,0.5,-1,-1,-1,-1,7360,3
jog,58.4799,16.2368,5,1000,0.5,0.428264,-3.63798e-12,856.528,1713.06,0,1
ils,58.4799,16.2368,5,1000,0.5,0.428264,-3.63798e-12,856.528,1713.06,5000,1
sel,58.4799,16.2368,5,1000,1,0,0,370.604,985.208,0,1
ilp,58.4799,16.2368,5,1000,1,-1,-1,-1,-1,7364,3
jog,58.4799,16.2368,5,1000,1,-3.47401e-18,-1.09139e-11,388.288,776.576,0,1
ils,58.4799,16.2368,5,1000,1,0.00134731,4232.71,211.573,634.719,5000,1
sel,58.4799,16.2368,5,2500,0,0.148242,0,370.604,2449.21,0,1
ilp,58.4799,16.2368,5,2500,0,-1,-1,-1,-1,7161,3
jog,58.4799,16.2368,5,2500,0,0.148303,0,370.758,3829.52,0,1
ils,58.4799,16.2368,5,2500,0,0.148303,0,370.758,3829.52,5000,1
sel,58.4799,16.2368,5,2500,0.5,0.0741208,0,370.604,2449.21,0,1
ilp,58.4799,16.2368,5,2500,0.5,-1,-1,-1,-1,8010,3
jog,58.4799,16.2368,5,2500,0.5,0.0741517,0,370.758,3829.52,0,1
ils,58.4799,16.2368,5,2500,0.5,0.0741517,0,370.758,3829.52,5000,1
sel,58.4799,16.2368,5,2500,1,0,0,370.604,2449.21,0,1
ilp,58.4799,16.2368,5,2500,1,-1,-1,-1,-1,9975,3
jog,58.4799,16.2368,5,2500,1,0,0,370.758,3829.52,0,1
ils,58.4799,16.2368,5,2500,1,0,0,370.758,3829.52,5000,1
sel,58.4799,16.2368,5,5000,0,0.0741208,0,370.604,4889.21,0,1
ilp,58.4799,16.2368,5,5000,0,-1,-1,-1,-1,10153,3
jog,58.4799,16.2368,5,5000,0,-1,-1,-1,-1,0,2
ils,58.4799,16.2368,5,5000,0,-1,-1,-1,-1,0,2
sel,58.4799,16.2368,5,5000,0.5,0.0370604,0,370.604,4889.21,0,1
ilp,58.4799,16.2368,5,5000,0.5,-1,-1,-1,-1,9801,3
jog,58.4799,16.2368,5,5000,0.5,-1,-1,-1,-1,0,2
ils,58.4799,16.2368,5,5000,0.5,-1,-1,-1,-1,0,2
sel,58.4799,16.2368,5,5000,1,0,0,370.604,4889.21,0,1
ilp,58.4799,16.2368,5,5000,1,-1,-1,-1,-1,10102,3
jog,58.4799,16.2368,5,5000,1,-1,-1,-1,-1,0,2
ils,58.4799,16.2368,5,5000,1,-1,-1,-1,-1,0,2
sel,58.4799,16.2368,5,10000,0,0.0370604,0,370.604,9891.21,1,1
ilp,58.4799,16.2368,5,10000,0,-1,-1,-1,-1,9867,3
jog,58.4799,16.2368,5,10000,0,0.610705,881494,6107.05,9941.47,8,1
ils,58.4799,16.2368,5,10000,0,0.610705,881494,6107.05,9941.47,5000,1
sel,58.4799,16.2368,5,10000,0.5,0.0185302,0,370.604,9891.21,1,1
ilp,58.4799,16.2368,5,10000,0.5,-1,-1,-1,-1,9857,3
jog,58.4799,16.2368,5,10000,0.5,0.30395,-881494,6107.05,9941.47,8,1
ils,58.4799,16.2368,5,10000,0.5,0.30395,-881494,6107.05,9941.47,5000,1
sel,58.4799,16.2368,5,10000,1,0,0,370.604,9891.21,1,1
ilp,58.4799,16.2368,5,10000,1,-1,-1,-1,-1,9387,3
jog,58.4799,16.2368,5,10000,1,-0.00432607,-1.35908e+06,3765.56,10602.4,5,1
ils,58.4799,16.2368,5,10000,1,-0.00146941,-461630,5038.52,10581.9,5000,1
sel,58.4799,16.2368,5,25000,0,0.0148242,0,370.604,24897.2,1,1
ilp,58.4799,16.2368,5,25000,0,-1,-1,-1,-1,7305,3
jog,58.4799,16.2368,5,25000,0,0.791228,-1.2676e+07,19780.7,27719.1,27,1
ils,58.4799,16.2368,5,25000,0,0.862897,-1.275e+07,21572.4,27713.6,5000,1
sel,58.4799,16.2368,5,25000,0.5,0.00741208,0,370.604,24897.2,1,1
ilp,58.4799,16.2368,5,25000,0.5,-1,-1,-1,-1,7462,3
jog,58.4799,16.2368,5,25000,0.5,0.392386,-1.2676e+07,19780.7,27719.1,27,1
ils,58.4799,16.2368,5,25000,0.5,0.41795,-1.26583e+07,21058.7,27719,5001,1
sel,58.4799,16.2368,5,25000,1,0,0,370.604,24897.2,1,1
ilp,58.4799,16.2368,5,25000,1,-1,-1,-1,-1,7274,3
jog,58.4799,16.2368,5,25000,1,-0.00645582,-1.2676e+07,19632.9,27423.5,45,1
ils,58.4799,16.2368,5,25000,1,-0.00632906,-1.24271e+07,18980.5,27409.2,5000,1
sel,58.4799,16.2368,5,50000,0,0.00741208,0,370.604,49907.2,3,1
ilp,58.4799,16.2368,5,50000,0,-1,-1,-1,-1,7357,3
jog,58.4799,16.2368,5,50000,0,-1,-1,-1,-1,308,2
ils,58.4799,16.2368,5,50000,0,-1,-1,-1,-1,308,2
sel,58.4799,16.2368,5,50000,0.5,0.00370604,0,370.604,49907.2,4,1
ilp,58.4799,16.2368,5,50000,0.5,-1,-1,-1,-1,7511,3
jog,58.4799,16.2368,5,50000,0.5,-1,-1,-1,-1,306,2
ils,58.4799,16.2368,5,50000,0.5,-1,-1,-1,-1,306,2
sel,58.4799,16.2368,5,50000,1,0,0,370.604,49907.2,4,1
ilp,58.4799,16.2368,5,50000,1,-1,-1,-1,-1,7642,3
jog,58.4799,16.2368,5,50000,1,-1,-1,-1,-1,273,2
ils,58.4799,16.2368,5,50000,1,-1,-1,-1,-1,273,2
sel,58.4799,16.2368,5,100000,0,0.00370604,0,370.604,99927.2,9,1
ilp,58.4799,16.2368,5,100000,0,-1,-1,-1,-1,9811,3
jog,58.4799,16.2368,5,100000,0,-1,-1,-1,-1,807,2
ils,58.4799,16.2368,5,100000,0,-1,-1,-1,-1,807,2
sel,58.4799,16.2368,5,100000,0.5,0.00185302,0,370.604,99927.2,17,1
ilp,58.4799,16.2368,5,100000,0.5,-1,-1,-1,-1,9935,3
jog,58.4799,16.2368,5,100000,0.5,-1,-1,-1,-1,832,2
ils,58.4799,16.2368,5,100000,0.5,-1,-1,-1,-1,832,2
sel,58.4799,16.2368,5,100000,1,0,0,370.604,99927.2,17,1
ilp,58.4799,16.2368,5,100000,1,-1,-1,-1,-1,9700,3
jog,58.4799,16.2368,5,100000,1,-1,-1,-1,-1,783,2
ils,58.4799,16.2368,5,100000,1,-1,-1,-1,-1,783,2
